word;D20181943.txt;D20181937.txt;D20181947.txt;D20181950.txt
internet;0;0;2;0
absolwent;0;0;1;0
administracja;5;0;1;9
adres;0;0;2;0
akceptacja;0;0;2;0
akt;0;1;0;0
akustyk;0;0;3;0
alarmowy;1;0;2;0
alba;1;0;1;0
algebra;0;0;2;0
analiza;0;0;1;0
analogiczny;1;0;0;0
antynomiczny;0;1;0;0
artyku³;0;7;4;0
aspekt;0;0;2;0
audiowizualny;0;0;1;0
autoryzowaæ;0;0;1;0
awatar;1;0;0;0
bar;0;0;6;0
barwa;1;0;0;0
batymetryczny;0;0;1;0
baza;0;0;2;0
benefit;0;0;0;2
bez;0;0;1;0
bezosobowy;0;0;0;2
bezpieczeñstwo;0;0;7;0
bia³a;1;0;0;0
bia³y;2;0;0;0
biec;1;0;0;0
bie¿eæ;0;0;1;2
biura;0;0;1;0
biuro;0;0;6;0
biurowy;0;0;2;0
boczny;0;0;1;0
bok;1;0;0;0
brak;0;0;1;0
brzmienie;5;1;0;0
budowla;0;0;1;0
budownictwo;0;0;0;4
bud¿et;0;0;0;7
bud¿etowy;0;0;0;1
burta;0;0;1;0
bycie;3;0;0;0
bóg;3;0;0;0
b³¹d;0;0;3;0
b³êkit;1;0;0;0
b³êkitny;1;0;0;0
category;0;0;1;0
ca³kowity;0;0;1;0
cel;0;0;2;0
centralne;0;0;0;4
centymetr;15;0;0;0
charakterystyka;0;0;2;0
charakteryzowaæ;0;0;1;0
ciek;0;0;3;0
ciemny;1;0;0;0
cofniêcie;0;0;2;0
cofn¹æ;0;0;2;0
competence;0;0;1;0
cumowaæ;0;0;2;0
cybernetyczny;0;0;4;0
cyfryzacja;0;0;0;1
cyrkulacja;0;0;1;0
cywilny;0;0;0;4
czas;1;0;6;0
czerwiec;0;3;0;0
czerwieniæ;1;0;0;0
czerwona;1;0;0;0
czerwone;1;0;0;0
czêsty;2;0;0;5
czêœæ;0;0;1;3
cz³onek;0;0;0;4
dalej;0;0;3;0
dana;0;0;14;0
dany;0;0;1;0
denny;0;0;1;0
desygnacja;1;0;0;0
dna;0;0;1;0
dnia;0;0;1;0
dobry;0;0;2;0
dodatkowy;0;0;1;0
dokonanie;0;0;0;1
dokonywaæ;0;0;1;0
dokument;0;0;5;0
dokumentacja;0;0;1;0
dolny;3;0;0;0
dopuszczalnoœæ;0;2;0;0
dorobek;0;0;1;0
dostatek;0;0;2;0
dotychczasowy;1;0;0;0
dotyczyæ;0;0;0;1
dowód;0;0;1;0
do³¹czaæ;0;0;1;0
doœwiadczenie;0;1;3;0
